"location","time","knockdowncount","distance"
"N4T","15m",0,"4m"
"E4B","15m",0,"4m"
"E4M","15m",0,"4m"
"E4T","15m",0,"4m"
"S4B","15m",0,"4m"
"S4M","15m",0,"4m"
"S4T","15m",0,"4m"
"W4B","15m",0,"4m"
"W4M","15m",0,"4m"
"W4T","15m",0,"4m"
"N4B","30m",0,"4m"
"N4M","30m",0,"4m"
"N4T","30m",0,"4m"
"E4B","30m",0,"4m"
"E4M","30m",0,"4m"
"E4T","30m",0,"4m"
"S4B","30m",0,"4m"
"S4M","30m",0,"4m"
"S4T","30m",0,"4m"
"W4B","30m",0,"4m"
"W4M","30m",0,"4m"
"W4T","30m",0,"4m"
"N4B","45m",0,"4m"
"N4M","45m",0,"4m"
"N4T","45m",0,"4m"
"E4B","45m",0,"4m"
"E4M","45m",0,"4m"
"E4T","45m",0,"4m"
"S4B","45m",0,"4m"
"S4M","45m",0,"4m"
"S4T","45m",0,"4m"
"W4B","45m",0,"4m"
"W4M","45m",0,"4m"
"W4T","45m",0,"4m"
"N4B","1hr",0,"4m"
"N4M","1hr",0,"4m"
"N4T","1hr",0,"4m"
"E4B","1hr",0,"4m"
"E4M","1hr",0,"4m"
"E4T","1hr",0,"4m"
"S4B","1hr",0,"4m"
"S4M","1hr",0,"4m"
"S4T","1hr",0,"4m"
"W4B","1hr",0,"4m"
"W4M","1hr",0,"4m"
"W4T","1hr",0,"4m"
"N4B","2hr",0,"4m"
"N4M","2hr",0,"4m"
"N4T","2hr",0,"4m"
"E4B","2hr",0,"4m"
"E4M","2hr",0,"4m"
"E4T","2hr",0,"4m"
"S4B","2hr",0,"4m"
"S4M","2hr",0,"4m"
"S4T","2hr",0,"4m"
"W4B","2hr",0,"4m"
"W4M","2hr",0,"4m"
"W4T","2hr",0,"4m"
"N4B","4hr",0,"4m"
"N4M","4hr",0,"4m"
"N4T","4hr",0,"4m"
"E4B","4hr",0,"4m"
"E4M","4hr",0,"4m"
"E4T","4hr",0,"4m"
"S4B","4hr",0,"4m"
"S4M","4hr",0,"4m"
"S4T","4hr",0,"4m"
"W4B","4hr",0,"4m"
"W4M","4hr",0,"4m"
"W4T","4hr",0,"4m"
"N4B","24hr",24,"4m"
"N4M","24hr",25,"4m"
"N4T","24hr",25,"4m"
"E4B","24hr",6,"4m"
"E4M","24hr",23,"4m"
"E4T","24hr",21,"4m"
"S4B","24hr",11,"4m"
"S4M","24hr",23,"4m"
"S4T","24hr",25,"4m"
"W4B","24hr",25,"4m"
"W4M","24hr",25,"4m"
"W4T","24hr",25,"4m"
